,explain_time,explain_time,init_time,init_time,Num Features
algorithm,RF,xGB,RF,xGB,
dataset,,,,,
colic,0.01371909777323405,0.009508662753634982,0.00022365270035990168,9.017580010917749e-05,60
creditA,0.00696688993817809,0.004993781878079982,7.700093219735029e-05,4.62476917774002e-05,43
diabetes,0.0025354884564876556,0.002935157467921575,5.657846728960673e-05,3.585219383239746e-05,9
german,0.003408943758848821,0.0026521942106749723,5.3870628069634215e-05,3.569994012681011e-05,28
haberman,0.001274286861151037,0.0009301380372383225,0.00012673122782102774,8.438338696117133e-05,4
heartC,0.005959115530315198,0.003870069980621338,0.0001334924446909051,5.4557072488885174e-05,23
heartH,0.004546313672452359,0.0028540927010613517,0.0001780660185095382,0.0001369959687533444,21
heartS,0.0033985341296476476,0.0021439334925483257,0.00015731068218455594,8.89125992270077e-05,14
hepati,0.006171030875964043,0.002782882788242438,0.0003256064194899339,0.0001412844046568259,20
iono,0.011511236429214478,0.008855854923074896,0.00014482844959605825,0.00013376907868818804,34
je4042,0.003168663557837991,0.0020873476477230295,0.00015975447262034695,0.0001029056661269244,9
je4243,0.0028342964884999033,0.0020497840839427905,0.00017633018912849847,0.00011268814841469566,9
kc1,0.005952413450151482,0.005772999469065826,4.116320770058856e-05,2.3490630540271733e-05,22
kc2,0.008709048712125389,0.005485573122578282,0.00019017250641532567,8.301112962805706e-05,22
kc3,0.01271090565658197,0.00931587451841773,0.00015285280015733506,8.162451379093123e-05,40
liver,0.002508720686269361,0.0016815107922221338,0.0001446219051585478,8.840560913085938e-05,7
pc1req,0.003044275137094351,0.0012362920320951021,0.0003461746069101187,0.0003133553725022536,9
pc4,0.01115043887070247,0.016725284712655202,4.688543932778495e-05,4.10867588860648e-05,38
sonar,0.02296081414589515,0.019347498050102822,0.00020908392392672025,0.00013892467205341047,61
spect,0.003940838033502752,0.0018319129943847657,0.00016296126625754616,0.00016362450339577414,23
spectf,0.024436694472583374,0.013753681040521878,0.00016797834367894416,0.0001121029924990526,45
transfusion,0.0014706547298128643,0.001012270412747822,7.964883531842913e-05,4.7615596226283484e-05,5
ttt,0.0072637230157852175,0.0028361052274703978,0.00015739301840464275,0.00013254483540852863,28
vote,0.002330314196073092,0.0013290130175077,0.00014235437378402828,7.114114687424298e-05,17
wbc,0.0028401942088686185,0.002194714957270129,8.620270367326408e-05,5.6145520045839507e-05,10
