,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,explain_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time,init_time
algorithm,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB,xGB
covariance,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,diag,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full
alpha,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
n_clusters,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10,3,3,5,5,10,10
use_martingale,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colic,0.012323967615763346,0.014493028322855631,0.014096034897698296,0.013919692569308811,0.013752277692159016,0.011928370263841416,0.01230726506974962,0.014432096481323242,0.012189563115437825,0.014278848965962728,0.014555748303731282,0.013281120194329156,0.013412992159525553,0.020985383457607695,0.016411553488837348,0.012419242329067654,0.01265455616845025,0.01248637835184733,0.013114266925387912,0.0120661285188463,0.013039146529303656,0.012664781676398383,0.012478097279866537,0.01322544150882297,0.013241733445061578,0.013388249609205458,0.014717459678649902,0.017161732249789768,0.011368176672193739,0.012232314215766059,0.014634844991895888,0.017452348603142633,0.013755263222588434,0.013379478454589843,0.011851829952663845,0.013547001944647894,0.010733694500393338,0.01071991655561659,0.00796013938056098,0.007482502195570204,0.007885122299194336,0.01022991869184706,0.008212979634602864,0.008919729126824273,0.01073719925350613,0.009069153997633193,0.009555135832892523,0.008946442604064941,0.008336930804782443,0.00950544410281711,0.009127463234795465,0.006760949558681912,0.008086795277065701,0.007620024681091309,0.008168538411458334,0.009999444749620225,0.008182936244540744,0.0077424897087944875,0.007235815789964464,0.007948459519280329,0.00752410888671875,0.00876476764678955,0.009232203165690104,0.008345095316569011,0.011798535452948676,0.008725682894388834,0.008170978228251139,0.00919871860080295,0.007533828417460124,0.008635576566060383,0.007960507604810927,0.008608396848042805,0.00023507804013370127,0.00017904967404483408,0.0003311392966281162,0.00023660231172368767,0.00023569417803475027,0.00030225314451067637,0.0004269942808687017,0.0002708381481384963,0.00035726890135347173,0.000302344225765614,0.00033052851644794595,0.00035325061069445664,0.00018370017576753423,0.00035005740905075933,0.00023550397894355689,0.00017433220081115037,9.991345780619075e-05,0.0003537488787361745,0.00018114454290840064,0.00027384115069100024,0.00023013018490223403,0.00018079896991172534,0.00021728772795602178,0.00019083665997794504,0.00018514943926521902,0.00016376945409881933,0.0001795934827140208,0.00041516711202900064,0.00022269902604349543,0.00017976760864257812,0.00017818708098336553,0.0002827912234188466,0.0002708756521846471,0.0002855156244856588,0.00045232826404357227,0.00035203172919455537,0.0001730008071727967,0.0002618291404809845,0.0002316973182592499,0.00020225664203086597,0.00032526991340551484,0.0002336421709382132,0.0001613906260286824,0.0002081287041139067,0.0002555231030067701,0.0002480303303579266,0.00019316994742061316,0.0003643223408902629,0.0003522353225879455,0.00015657671381918232,0.00023284922824816758,0.0002592761864822902,0.00020398718587468179,0.00014740965339574922,0.0001766735248351365,0.00019502103998419944,0.0003330198566565353,0.00013233034798268523,0.00020664997315138914,0.0,0.00023981694425089976,0.0001498902781625812,0.00018099720558423674,0.00022125512026668936,0.00020031178935190266,0.000189494550897834,0.00023097134708018784,0.0002086778705039721,0.00017825137363390977,0.00018045339691505002,0.00017773703242955584,0.00018092755521281382
creditA,0.00663368274710771,0.0066734641962657775,0.006054408288415457,0.006076567434851144,0.006165206776878048,0.006107881579095918,0.00654340203786861,0.005870759831687619,0.006484084046644972,0.006549541660815994,0.0062169063987070425,0.006096055741944065,0.006343896678417405,0.006592185511065356,0.006310323759310507,0.006610684312147902,0.005757579913718163,0.006867214434408728,0.006352153127593112,0.006608333201766703,0.0066816517383376985,0.006273287569167297,0.006716360246514999,0.006047866247981959,0.007266795704130492,0.006015605320131159,0.0072201455948669785,0.006060739473111368,0.007147625002557832,0.006235011051155928,0.0066054142968503034,0.0059930837223295536,0.006302526231446018,0.0061903744074650584,0.006370252267473695,0.0067253016323023445,0.004471773357060603,0.0051074069359398995,0.005362459689895542,0.005495323611132671,0.004735519431229961,0.006028045808648788,0.0049988065840881,0.0050393198266883805,0.004583030766834414,0.005451830825364659,0.00517591300038244,0.004322257345122409,0.0045126573198792565,0.0044657122882115355,0.004496698434642284,0.004579460000716193,0.004539955558115347,0.004400118237975016,0.004338203827080699,0.004389230915576736,0.004744595874940729,0.005193383707476489,0.004764062131760437,0.004745433785322773,0.004778357599512001,0.004805479435562398,0.004623236683751806,0.004191332469785833,0.005715773973850846,0.005141569699855209,0.005303872113972041,0.004781845677105678,0.004922107465005335,0.004366021624879341,0.004909330709821227,0.004724814023585678,0.00010711058026793376,9.973889830484556e-05,0.00010337857152685264,0.00010296926333036038,0.00010942034638685988,0.00011217249611209583,0.00016951698788328666,0.00011116645239681178,9.408713765227037e-05,0.00011545385239441271,0.00010555741414858426,0.00011375873764126287,0.00011435271687590318,9.982709939769238e-05,0.00010070773218408486,0.00010555879229066,0.00011108514201434361,0.00011137868627647444,0.00012006098135358337,9.948394202083522e-05,0.00011057936387255013,0.00010064709393275266,0.00013170076932521224,0.00011234889829778947,0.00014141529281704412,0.0001413711922706207,0.00010510400540566858,0.00010771145021295272,0.00015722258242568528,0.00012498370484809656,9.989187207525176e-05,9.70432524047146e-05,9.964518464369581e-05,0.00011073785021125926,0.00010649868518630893,0.00011697945567224757,7.514044039511267e-05,7.402276717169437e-05,7.432458028627957e-05,9.438757262477984e-05,9.26704075984183e-05,8.780694421316158e-05,8.204906662075506e-05,7.511701197982523e-05,8.390128957053829e-05,8.399362508961231e-05,8.204631033660359e-05,8.893977699941293e-05,7.904058246943303e-05,7.865470268822818e-05,7.933412673156385e-05,8.578107536183617e-05,9.695091688564058e-05,9.41326163407695e-05,0.00011132907316174811,7.684933656901983e-05,7.640695296270999e-05,0.00010489866223638457,9.369436716068686e-05,8.802469066112716e-05,7.30553114345308e-05,7.889449940940548e-05,8.339551142874481e-05,7.64772382085723e-05,8.782486006014609e-05,9.845998245856665e-05,7.514319667926414e-05,7.097156061602465e-05,7.614648411039672e-05,7.817786553002506e-05,8.54420524112062e-05,8.816388301077606e-05
diabetes,0.0026875759164492288,0.003338739275932312,0.0025171724458535514,0.0026589160164197287,0.00328194722533226,0.002703707665205002,0.002418350428342819,0.002518254021803538,0.002601221203804016,0.002640028794606527,0.0026779957115650177,0.0026373974978923798,0.0024939353267351785,0.002442008505264918,0.0025658458471298218,0.0025118738412857056,0.0028970067699750266,0.002619584401448568,0.002671803037325541,0.002549016227324804,0.002663910388946533,0.0026107802987098694,0.0027796576420466104,0.002553209662437439,0.0028295889496803284,0.0031108583013216653,0.002798521270354589,0.0026620452602704367,0.0025241958598295846,0.0033228211104869843,0.0026492451628049216,0.0028166684011618295,0.002814458062251409,0.00251628706852595,0.002554232875506083,0.0024238800009091697,0.002498821665843328,0.00209317480524381,0.002119505157073339,0.002981076637903849,0.0021045145889123282,0.0020632147789001465,0.0030348574121793113,0.002108309417963028,0.0026646889746189117,0.0022698119282722473,0.0030524072547753653,0.0022216824193795523,0.0024114251136779785,0.0022490459183851876,0.002152681350708008,0.0020886523028214774,0.0020700382689634957,0.0021652691066265106,0.0021806160608927407,0.0022429563105106354,0.002223532646894455,0.002241407831509908,0.0026618652045726776,0.0022445966800053916,0.002048188199599584,0.002723661561806997,0.0020860768854618073,0.002213340252637863,0.0022628468771775565,0.0024860166013240814,0.00235805536309878,0.002893121292193731,0.002242717891931534,0.0022853240370750427,0.002531768133242925,0.002230436851580938,8.506576220194499e-05,8.219356338183086e-05,8.974969387054443e-05,8.99285078048706e-05,9.307141105333964e-05,0.00011692196130752563,7.977709174156189e-05,8.465101321538289e-05,0.00010109816988309224,9.074186285336812e-05,0.0001005542774995168,0.00011573607722918193,8.440390229225159e-05,8.36104154586792e-05,0.0001062999169031779,8.962179223696391e-05,0.00010567655165990193,0.00010052820046742757,8.521974086761475e-05,0.00011543929576873779,9.754672646522522e-05,9.297206997871399e-05,0.00010787819822629292,0.00010333458582560222,9.132673343022664e-05,8.875255783398946e-05,9.933734933535258e-05,0.00012367467085520426,9.523207942644755e-05,0.00010376547773679097,7.812430461247762e-05,8.524830142656963e-05,8.473048607508342e-05,9.025384982426961e-05,9.519110123316447e-05,9.522462884585063e-05,8.300567666689555e-05,6.654113531112671e-05,0.0001005840798219045,8.226682742436726e-05,7.2936216990153e-05,7.903451720873515e-05,6.167590618133545e-05,6.943692763646443e-05,0.0001462449630101522,7.870172460873921e-05,7.405752936999004e-05,9.161606431007385e-05,7.223586241404216e-05,6.896009047826131e-05,9.105727076530457e-05,6.748115022977193e-05,7.750093936920166e-05,7.10288683573405e-05,6.192798415819804e-05,6.623193621635437e-05,7.266427079836528e-05,6.772950291633606e-05,7.451201478640239e-05,0.00013163934151331583,6.400048732757568e-05,6.272395451863606e-05,0.0001226415236790975,7.94827938079834e-05,0.00011118749777475993,8.018066485722859e-05,7.219985127449036e-05,6.5860648949941e-05,6.88868264357249e-05,9.888534744580586e-05,7.525458931922913e-05,8.81416102250417e-05
german,0.0040440339922406185,0.0034983158111572266,0.004746573739470797,0.004976985843610564,0.003910467714445361,0.00554240996867543,0.004587943583851579,0.004792443877982295,0.00398922066309462,0.004820077489110715,0.0045367224944685295,0.0049295275779947575,0.004797055631501904,0.005346700237385898,0.00462527454647559,0.00409352130969698,0.004814993886269286,0.0046823733022522225,0.003952421403829024,0.0033401086240632764,0.0038264097030192737,0.004157678851522661,0.004485606149649521,0.005255361979975361,0.004038698004878215,0.00423179410990312,0.0041057704382860515,0.003954886392569443,0.0046496361369368425,0.004659883148001826,0.004400316142636862,0.004297008075474695,0.005167150098409613,0.004346609115600586,0.0054328431644200285,0.004334766994460357,0.0027405896446196106,0.0027340436081507214,0.002344121494053797,0.0029028948380857332,0.0022362715030813814,0.0021402536575764295,0.0022127249250850915,0.002336660688392288,0.00237832907353485,0.0024041321487107536,0.0020941361223803406,0.002341556748585721,0.0021346283757038196,0.002143756116284486,0.0024144549748887577,0.0022765412989021842,0.0022569630435321122,0.002778361531979868,0.002967217976079326,0.002539002246936495,0.003128065723754372,0.002854575671910242,0.0029592524013758704,0.0027305112224243677,0.0030752874318525883,0.002750379769871923,0.0031503753183277083,0.002145244486661137,0.0025627872435118864,0.00284459900157721,0.0027382982325853166,0.0029369019065441948,0.002627179213647563,0.002663843801330822,0.002716468467872013,0.0023008091180394385,7.666105007027981e-05,9.249942572047023e-05,8.476528662517979e-05,0.00016105324653402034,0.00011375159898063628,0.0001276167865577602,0.00010317439314710546,9.263808757191423e-05,0.0001314035519396411,0.00012341603075610044,6.612773719691831e-05,0.0001554229768250278,0.00011904568851742285,9.837110671039406e-05,0.00011382142868999657,0.00013331389327428332,9.55310326739834e-05,0.0001332410708630933,7.076143719661186e-05,8.071616104955953e-05,0.00017890371538106366,7.94751873574995e-05,0.0001398280075903218,0.00012517873213380948,0.0001387296860188121,8.683424115679752e-05,0.00012526153021776527,0.00011983775693502387,9.409852606482087e-05,0.00011791843749489245,0.00011509232940035385,0.00013022342985145218,7.234657159909045e-05,8.317516438631832e-05,9.07726367647179e-05,0.00013052968300536087,7.563555090996012e-05,6.056430449545633e-05,5.990092225653357e-05,6.376549788598735e-05,6.714226311719568e-05,6.41146464327888e-05,5.971337960853736e-05,5.0028996487541675e-05,6.441790688486777e-05,6.282977978055946e-05,6.370863655122255e-05,6.391014514109081e-05,5.5442794097517325e-05,5.0876928672630914e-05,5.804843982393273e-05,5.5271212525946325e-05,6.37345733004135e-05,7.591786244923101e-05,8.03620246663752e-05,8.447998238407917e-05,5.3932477240781905e-05,8.658883960675994e-05,5.992187116934166e-05,7.258399261091544e-05,7.223085379500768e-05,6.538853984497582e-05,5.563332944734326e-05,5.953780776786006e-05,6.222824671278439e-05,7.341396858502631e-05,5.1109361848073025e-05,5.6876298273956426e-05,7.961783947804981e-05,5.837963215975582e-05,7.786511377310654e-05,9.684981661361631e-05
