Dataset,LIME Base,SHAP Base,LIME,SHAP,CE,PCE,CE Guarded,CE Unguarded,PCE Guarded,PCE Unguarded
abalone,0.06266592931747436,0.1814008665084839,0.07531112670898436,0.2565275845527649,0.0032741789817810054,0.005243128776550293,0.0033354182243347163,0.0011055994033813475,0.00503800106048584,0.0029151997566223145
anacalt,0.03222721719741821,0.027427416324615476,0.048514105796813964,0.0450921778678894,0.0024398756027221675,0.003926104068756103,0.0024810876846313476,0.0006647014617919922,0.003829203128814697,0.0019118237495422362
bank8fh,0.13198155498504638,3.9608761239051815,0.1273839621543884,0.36746730375289915,0.004290467739105225,0.007232773303985596,0.004135612964630127,0.0017119855880737306,0.007375700950622557,0.004025915622711181
bank8fm,0.10600976371765136,0.2350219898223877,0.11701955938339233,0.31889384317398073,0.0045309486389160155,0.0062847633361816395,0.0044552388191223145,0.0027830367088317867,0.007150513648986817,0.0038813543319702153
bank8nh,0.10819203853607177,0.2721744556427002,0.12526618242263793,0.35535230016708375,0.00428661823272705,0.0063407301902771,0.004418355941772461,0.001700502395629883,0.006917904376983643,0.003917278289794921
bank8nm,0.10338279628753662,0.25845135927200313,0.12045368480682372,0.3443259301185608,0.004828421115875245,0.00648002576828003,0.004908932209014893,0.0017887372970581054,0.0069196677207946766,0.00494330358505249
comp,0.08970611524581909,0.617164487838745,0.105464506149292,0.7965725693702698,0.005832748889923096,0.00916260862350464,0.006018304824829101,0.0021753826141357423,0.009960356235504151,0.004571133613586425
concreate,0.06183777904510499,0.14638419055938723,0.0788082857131958,0.22642015171051028,0.0034985475540161132,0.005087583065032959,0.003874702453613281,0.0011429400444030763,0.0056418366432189945,0.003201162338256836
deltaA,0.11361836528778077,0.05227352523803711,0.12468017768859863,0.06501587963104248,0.002675285339355469,0.003987251281738281,0.002602478504180908,0.0011911344528198243,0.004803926467895508,0.0028952555656433106
deltaE,0.13582207012176511,0.06946587896347046,0.15388280916213987,0.08535710287094116,0.0035266914367675776,0.004758144378662109,0.0042749733924865715,0.001421024799346924,0.005035951137542725,0.004425858974456787
friedm,0.0913293743133545,0.040736858367919924,0.1069262719154358,0.05212858772277832,0.002401916027069092,0.0039057092666625976,0.0029308266639709473,0.0009233407974243164,0.003927174091339111,0.0022014822959899897
kin8fh,0.10689652729034424,0.28788670110702513,0.1298458275794983,0.37053427028656005,0.004761707305908204,0.006524278163909912,0.004814702987670899,0.002973083972930908,0.006825804233551025,0.0044550423622131356
kin8fm,0.10332441568374633,0.2698138670921325,0.12053704071044921,0.3529343118667603,0.004449779987335205,0.008432339191436768,0.005127533435821533,0.0019411110877990724,0.007773015975952148,0.004120688915252685
kin8nh,0.10585939645767213,0.27773529720306395,0.12311229801177978,0.35840616559982297,0.005234482288360596,0.009382638454437256,0.005306127548217773,0.0019421534538269045,0.008222585201263429,0.004783063888549805
kin8nm,0.10387666368484497,0.2766009454727173,0.12225853967666626,0.35904226303100584,0.004433279514312744,0.00661073637008667,0.00428351879119873,0.002710414409637451,0.007060013771057129,0.005413350582122803
laser,0.07116989994049072,0.026269270420074466,0.08702228832244872,0.03200506258010864,0.0017507805824279784,0.0029834532737731934,0.0018747143745422364,0.0006599626541137695,0.0030780663490295413,0.001878662109375
mg,0.09482533025741577,0.05827120399475098,0.1119979066848755,0.0791955347061157,0.002701857566833496,0.004108770370483399,0.003038472652435303,0.0010772643089294435,0.004663332939147949,0.002451342582702637
mortage,0.07093374872207642,0.3890413999557495,0.09621044111251831,0.5928370938301086,0.007336955070495604,0.011050735473632813,0.007687139511108399,0.002055337429046631,0.01069502067565918,0.006028069972991944
plastic,0.05099749660491944,0.016704954147338864,0.06653916454315187,0.018754924774169922,0.0011613931655883789,0.001874203681945801,0.0011797361373901368,0.0005602884292602538,0.0017649426460266114,0.0011705346107482911
puma8fh,0.11653428030014037,0.28558594274520877,0.1386597948074341,0.37641589212417603,0.004424262046813965,0.007840007305145264,0.005059521675109863,0.0020361700057983396,0.008615844726562499,0.004474737167358399
puma8fm,0.11348006200790406,0.25214735221862794,0.1391772575378418,0.3698946466445923,0.0047184891700744625,0.007834048271179199,0.004587934017181396,0.001920993328094482,0.008449137210845949,0.004712769985198975
puma8nh,0.1095398292541504,0.272787166595459,0.12707538080215453,0.3599919514656067,0.0045056877136230465,0.00823392391204834,0.004511123180389405,0.0019783682823181154,0.00806866979598999,0.004408682346343994
puma8nm,0.1070200662612915,0.26766060924530033,0.1261281795501709,0.3530328283309937,0.0044225239753723136,0.007025475025177001,0.005724294185638428,0.0018932390213012695,0.007245852470397949,0.0047116618156433105
