Dataset,LIME Base,SHAP Base,LIME,SHAP,CE,PCE,CE Guarded,CE Unguarded,PCE Guarded,PCE Unguarded,Prediction Variance
abalone,0.0008339648233842419,0.00014012043723724918,0.0009112083137154322,0.00014012043723724918,0.00235845426303855,0.01889238291852353,0.00235845426303855,1.4890306122449605e-05,0.01889238291852353,0.004081723904766137,7.971418367346933e-05
anacalt,0.006777460025138879,0.00018263245648470053,0.00677694754234803,0.00018263245648470053,0.01787200738893939,0.04909463155617535,0.01787200738893939,0.0,0.04909463155617535,0.006727105392459091,4.5548920944452465e-05
bank8fh,0.0007031520911549338,8.647708620676505e-05,0.0006720893926338582,8.647708620676499e-05,0.006506303159535151,0.015639275736085364,0.006506303159535151,2.6818728742527067e-05,0.015639275736085364,0.0027683968133544877,8.361217283943359e-05
bank8fm,0.0012014311227259193,8.417014731951041e-05,0.0011912747376418098,8.41701473195103e-05,0.0028934300180064897,0.018644005389585282,0.0028934300180064897,3.2423394545519605e-05,0.018644005389585282,0.0019227282571625747,2.2118192619090885e-05
bank8nh,0.0002837847079147504,3.805206463214796e-05,0.00028925455471515117,3.8052064632148e-05,0.0073613456007355395,0.01671925400598919,0.0073613456007355395,4.3006312024628894e-05,0.01671925400598919,0.0152553303328986,0.00013200570674004011
bank8nm,0.0003920429858972705,5.2576965855683e-05,0.00040193955340718436,5.257696585568299e-05,0.0025362345405710502,0.0044914968016009195,0.0025362345405710502,5.891994079513296e-07,0.0044914968016009195,0.0007307522783299366,2.8160171803507938e-05
comp,0.004688797330967491,9.490629931644358e-05,0.0046864978914051125,9.490629931644347e-05,0.004054683236404448,0.030113915756488314,0.004054683236404448,6.26705438220628e-05,0.030113915756488314,0.0010456670073671062,9.603052749719285e-06
concreate,0.00023111149761927108,0.00010994327390742414,0.00023846319957154956,0.00010994327390742357,0.006250857915970402,0.029748272286988783,0.006250857915970402,1.3661325519834558e-06,0.029748272286988783,0.007187968819272917,0.00034337164682991757
deltaA,5.8978870915757e-05,9.809367113779142e-06,5.9626768052641514e-05,9.809367113779218e-06,0.00011666108527131844,0.017854680459395138,0.00011666108527131844,9.370470524608645e-06,0.017854680459395138,0.00965384862746526,2.1681600865332643e-05
deltaE,0.0001138977706273824,2.099557125785737e-05,0.00011373107813921783,2.0995571257857395e-05,0.0002537731748209139,0.012573890636952006,0.0002537731748209139,1.5371742112485117e-05,0.012573890636952006,0.005809002911585703,2.87394238683128e-05
friedm,0.000417864204031517,7.249317811206152e-05,0.00046779482485371295,7.249317811206162e-05,0.002564327628974052,0.024496906396256245,0.002564327628974052,6.823546484045675e-06,0.024496906396256245,0.006098390196513431,0.0002220894522892144
kin8fh,0.00012629226310570597,2.63035384079666e-05,0.00012114999787352199,2.630353840796677e-05,0.0006249034021280843,0.014032779675963948,0.0006249034021280843,1.389714049153009e-05,0.014032779675963948,0.0066603567751052075,6.456791881882497e-05
kin8fm,0.00012965303999420413,3.524434429798516e-05,0.00014242636298667478,3.524434429798513e-05,0.0004529580249570637,0.010194174149496001,0.0004529580249570637,2.4729752108173016e-06,0.010194174149496001,0.0061016944008917525,3.177781223071727e-05
kin8nh,0.0005449863883746673,8.4411883075837e-05,0.0005649296843851197,8.441188307583692e-05,0.0033750376016989875,0.027182204686825404,0.0033750376016989875,2.2153331920527928e-05,0.027182204686825404,0.006523852824407577,0.00016953375037721046
kin8nm,0.0004281463974076292,0.0001927187062144068,0.0004619408752899397,0.0001927187062144072,0.002422678592680663,0.020064444144576497,0.002422678592680663,1.564300307088499e-05,0.020064444144576497,0.01427196183219763,0.000129214494446733
laser,0.0005203764702271098,9.78903488470187e-05,0.0005182118053651029,9.78903488470188e-05,0.007521848404972449,0.03281776534646362,0.007521848404972449,8.089802383698459e-05,0.03281776534646362,0.006794336509716219,0.00014876677831603217
mg,0.0006628973326674102,0.0001447518044720298,0.0006412172268327461,0.00014475180447203048,0.0020824199558019097,0.01594950711890693,0.0020824199558019097,3.319875449018518e-05,0.01594950711890693,0.0038276501537554304,0.00037448819925962136
mortage,0.001081529359045386,8.315288173586876e-05,0.0010931121892956428,8.315288173586868e-05,0.0010055553005313934,0.0011080761188311202,0.0010055553005313934,1.0208081964609669e-06,0.0011080761188311202,0.004270318724840128,1.2825545262898526e-05
plastic,0.0018323722869687852,0.002218505217237346,0.0018940183285299933,0.0022185052172373422,0.0942589110299088,0.10260106723947782,0.0942589110299088,0.00010907367765180514,0.10260106723947782,0.0110106879722221,0.0012736725640007127
puma8fh,0.00046951712328951263,0.0003189126734954239,0.00047825005202650024,0.0003189126734954244,0.0035835881144614984,0.016783329794787055,0.0035835881144614984,3.2254487778869196e-05,0.016783329794787055,0.009379553441337401,0.00018203797697757555
puma8fm,0.002848532672780655,0.0009053438255782603,0.002791751493995428,0.0009053438255782598,0.006786341690877444,0.02454649006484869,0.006786341690877444,9.633816273606614e-06,0.02454649006484869,0.010091183277238189,4.957840995710692e-05
puma8nh,0.001250499105849685,0.00014796529714019918,0.0011858096542238052,0.00014796529714019893,0.002851444560211111,0.017915667865947994,0.002851444560211111,4.5153572467643384e-05,0.017915667865947994,0.009490700465509132,0.0001686804012668177
puma8nm,0.0013734309822020078,0.0003179767328167146,0.0013276621203053762,0.0003179767328167153,0.004376427012206951,0.01355723804895531,0.004376427012206951,8.963932236397379e-05,0.01355723804895531,0.007396661019794479,3.192998864273564e-05
