Dataset,LIME Base,SHAP Base,LIME,SHAP,CE,PCE,CE Guarded,CE Unguarded,PCE Guarded,PCE Unguarded
abalone,0.06504003763198854,0.20051279926300047,0.07942134475708008,0.2780862908363342,0.004078730583190918,0.005900822162628174,0.00425797414779663,0.0012953214645385742,0.006002759456634522,0.0035104632377624513
anacalt,0.03252523183822632,0.0319404411315918,0.045248391628265376,0.04929993867874145,0.0026824231147766116,0.003682854652404785,0.0025608110427856445,0.0006905121803283691,0.004101081371307373,0.0020919880867004393
bank8fh,0.10494228649139406,0.2620352654457092,0.12507626962661744,0.34591361951828004,0.004287201881408692,0.006950636863708495,0.004951230049133301,0.001719510555267334,0.006205209255218506,0.003926692962646484
bank8fm,0.09810536909103393,0.23849769926071165,0.11319467973709108,0.31303527450561525,0.004172913074493407,0.007195141315460204,0.004561553478240966,0.001800778865814209,0.007164653301239015,0.003961889266967773
bank8nh,0.11182861709594727,0.2716798276901245,0.12927794885635374,0.35581273365020755,0.005265752792358399,0.0067960600852966305,0.004775652885437012,0.0018154358863830566,0.007095119476318359,0.004398581504821778
bank8nm,0.10059589529037476,0.25817942857742315,0.11827118587493897,0.33387477111816405,0.004245810031890869,0.006453431606292724,0.0052433500289917,0.0018308091163635252,0.006570204734802246,0.0036786751747131343
comp,0.08830480337142943,0.611086932659149,0.10589622783660887,0.7789250326156616,0.005588818550109863,0.008857999324798586,0.006114096164703368,0.00206419038772583,0.009285332679748534,0.005420071601867677
concreate,0.061149527549743656,0.14232546043395997,0.07649541902542115,0.2181488409042358,0.0034073286056518553,0.005327503681182862,0.003411539554595947,0.0010752835273742677,0.005533246994018555,0.0030080080032348633
deltaA,0.10989224863052367,0.051570366382598876,0.1292857575416565,0.06488024759292603,0.00281546688079834,0.004298759460449218,0.0028541927337646486,0.001228566646575928,0.00472934627532959,0.0037900395393371577
deltaE,0.13112543582916258,0.06971332788467408,0.149161904335022,0.08768767452239991,0.003172092437744141,0.0048549270629882815,0.0034479246139526368,0.0015223937034606933,0.006427012920379639,0.004310940742492676
friedm,0.09050725173950194,0.04010743904113769,0.1100486478805542,0.05380741977691651,0.0026061568260192874,0.004531076431274414,0.0027105278968811036,0.0015822854042053223,0.003621813774108887,0.002232084274291992
kin8fh,0.10510273361206054,0.2887584137916565,0.12867749547958374,0.37904953336715697,0.004286232471466064,0.007231058597564698,0.00461682653427124,0.0019733471870422366,0.008292025566101074,0.004507916927337647
kin8fm,0.1119122428894043,0.2785477542877197,0.12081828832626343,0.37020490980148313,0.004430449008941651,0.007496208667755126,0.004828129768371582,0.0019929757118225095,0.006991872787475586,0.00492673921585083
kin8nh,0.10537352752685547,0.2811035099029541,0.12088401985168458,0.36319218206405635,0.00449810791015625,0.007461138248443603,0.0045327463150024415,0.0025958542823791503,0.006829463005065918,0.004292626380920411
kin8nm,0.10406289577484129,0.27419746494293207,0.12184929704666136,0.3611930985450744,0.0040709500312805175,0.0071673326492309565,0.005521045207977296,0.0016477231979370114,0.006889225482940674,0.005397557258605957
laser,0.07017191982269287,0.023874656677246094,0.08374555063247681,0.030953948497772214,0.0018753323554992676,0.0037210092544555664,0.0018592505455017091,0.0006368155479431154,0.002792983531951904,0.001665407657623291
mg,0.09279478693008422,0.05765879201889038,0.10791810846328735,0.07985889863967896,0.002690751552581787,0.0042562813758850095,0.003294327735900879,0.0010141382217407227,0.0041009411811828616,0.002312324047088623
mortage,0.07189502477645873,0.3784345335960388,0.08704883337020874,0.5598019347190857,0.0064081082344055185,0.009160512447357178,0.006716265678405763,0.0016604704856872556,0.008878801822662355,0.004624599933624267
plastic,0.05248952722549438,0.018089457035064697,0.067398051738739,0.019464392185211184,0.0012699003219604492,0.002046818733215332,0.0012171010971069336,0.0005789704322814942,0.001808174133300781,0.0015021061897277832
puma8fh,0.11222111845016478,0.2869093894958496,0.12765693616867063,0.37040193271636956,0.004704617977142334,0.00694046974182129,0.00504732608795166,0.0018631057739257814,0.007209297180175782,0.005527324676513672
puma8fm,0.10527957391738892,0.2641565337181091,0.12134862375259399,0.3442568712234497,0.00434321928024292,0.007074986457824707,0.004420737266540528,0.0026248812675476072,0.0064717202186584475,0.004271164417266845
puma8nh,0.10945823144912721,0.2728017983436585,0.12076036357879638,0.3645926141738892,0.00429221534729004,0.007793417453765869,0.004265940189361573,0.0017676920890808106,0.007714094638824463,0.004475936889648438
puma8nm,0.10597440862655638,0.24691216135025024,0.12649838066101074,0.35180966520309453,0.004466249942779542,0.006562024116516113,0.005746147155761719,0.0024655385017395017,0.007999833583831788,0.00511139726638794
