Dataset,LIME Base,SHAP Base,LIME,SHAP,CE,PCE,CE Guarded,CE Unguarded,PCE Guarded,PCE Unguarded
abalone,8.239784003441834e-06,9.14816723583937e-36,8.055769344191291e-06,1.9018558200823955e-35,5.585196838722984e-35,1.5407439555097887e-35,5.585196838722984e-35,0.0,1.5407439555097887e-35,0.0
anacalt,2.0864669787353068e-05,1.6370404527291504e-34,2.0085542843751156e-05,1.6370404527291504e-34,3.0814879110195774e-35,2.465190328815662e-33,3.0814879110195774e-35,0.0,2.465190328815662e-33,3.274080905458301e-35
bank8fh,1.3252000984895933e-05,7.763905088311045e-35,1.2520822517892321e-05,9.388908478887775e-36,6.355568816477879e-35,3.6977854932234927e-34,6.355568816477879e-35,0.0,3.6977854932234927e-34,1.3096323621833205e-34
bank8fm,1.7776560894518403e-05,6.608347121678703e-35,1.6765986469226563e-05,4.1557957081230825e-35,8.474091755303838e-35,1.5407439555097888e-34,8.474091755303838e-35,0.0,1.5407439555097888e-34,3.6977854932234927e-34
bank8nh,6.097252074000206e-06,1.5287068933573685e-35,6.540965193314391e-06,4.2731570641091793e-35,4.622231866529366e-35,1.0014835710813627e-34,4.622231866529366e-35,0.0,1.0014835710813627e-34,0.0
bank8nm,8.6923441830757e-06,3.7796375158599505e-35,9.357834619401543e-06,8.425943506694156e-36,5.777789833161707e-35,3.0814879110195774e-35,5.777789833161707e-35,8.125016952883652e-37,3.0814879110195774e-35,0.0
comp,1.3085842205559442e-05,2.420268746423807e-07,1.187390559042325e-05,2.420268746423796e-07,1.232595164407831e-34,3.851859888774472e-35,1.232595164407831e-34,0.0,3.851859888774472e-35,5.7176045223996065e-37
concreate,1.575426031058328e-05,2.2148194360453213e-35,1.5593163486326745e-05,1.4444474582904268e-35,1.232595164407831e-34,6.162975822039155e-34,1.232595164407831e-34,0.0,6.162975822039155e-34,1.4637067577342993e-34
deltaA,1.9364608310590178e-06,3.250006781153461e-36,1.5674847857668282e-06,3.611118645726067e-36,1.925929944387236e-35,1.1401505270772436e-33,1.925929944387236e-35,0.0,1.1401505270772436e-33,1.3866695599588098e-34
deltaE,2.044606415574714e-06,5.657419211637505e-36,1.9828721157047533e-06,4.6944542394438876e-36,1.1555579666323415e-35,6.162975822039155e-34,1.1555579666323415e-35,0.0,6.162975822039155e-34,5.392603844284261e-35
friedm,1.1261929501484558e-05,2.311115933264683e-35,1.0677143978243212e-05,1.4925957069001078e-35,8.08890576642639e-35,6.7214955059114535e-34,8.08890576642639e-35,0.0,6.7214955059114535e-34,3.0814879110195774e-35
kin8fh,6.051889317983703e-06,4.9351954824922916e-36,6.607208841442913e-06,8.666684749742561e-36,1.1555579666323415e-35,2.7155612215860024e-34,1.1555579666323415e-35,0.0,2.7155612215860024e-34,2.9370431651905346e-35
kin8fm,7.923264880716933e-06,1.396299209680746e-35,8.427996758683622e-06,1.5888922041194697e-35,2.1185229388259594e-35,6.472629245910165e-34,2.1185229388259594e-35,0.0,6.472629245910165e-34,1.0014835710813627e-34
kin8nh,6.202007820226824e-06,1.5888922041194697e-35,7.419927409302553e-06,2.455560679093726e-35,4.044452883213195e-35,2.1570415377137044e-34,4.044452883213195e-35,0.0,2.1570415377137044e-34,5.392603844284261e-35
kin8nm,1.0539766655421939e-05,1.5407439555097887e-35,8.671645324233814e-06,1.2037062152420224e-35,1.1555579666323415e-34,9.244463733058732e-34,1.1555579666323415e-34,0.0,9.244463733058732e-34,6.162975822039155e-35
laser,1.0922033003581074e-05,3.4185256512873435e-35,9.196642077683657e-06,1.925929944387236e-35,5.970382827600431e-35,4.08297148210094e-34,5.970382827600431e-35,0.0,4.08297148210094e-34,6.162975822039155e-35
mg,1.7694258822613465e-05,2.7083389842945504e-35,1.4913930618052308e-05,3.1777844082389393e-35,1.5600032549536611e-34,4.930380657631324e-34,1.5600032549536611e-34,4.81482486096809e-37,4.930380657631324e-34,6.96945898625131e-35
mortage,6.685823391971499e-06,5.224708874278254e-07,6.939808785468029e-06,5.224708874278145e-07,7.896312771987667e-35,7.703719777548943e-34,7.896312771987667e-35,0.0,7.703719777548943e-34,4.81482486096809e-37
plastic,8.154960817717177e-05,2.69630192214213e-34,6.652608269029662e-05,4.005934284325451e-34,6.471124613141112e-34,2.588449845256445e-33,6.471124613141112e-34,0.0,2.588449845256445e-33,1.232595164407831e-34
puma8fh,1.175662722091614e-05,2.744450170751811e-35,1.175681758561091e-05,6.740754805355325e-35,1.232595164407831e-34,3.774822690998982e-34,1.232595164407831e-34,0.0,3.774822690998982e-34,4.237045877651919e-35
puma8fm,2.857839144240645e-05,1.4107436842636503e-34,2.5775511336162265e-05,9.437056727497456e-35,2.7733391199176195e-34,1.8257815872790997e-33,2.7733391199176195e-34,0.0,1.8257815872790997e-33,3.8759340130793125e-34
puma8nh,2.2020120269998993e-05,3.4666738998970244e-35,1.9880877255542337e-05,4.4777871207003236e-35,3.813341289886727e-34,2.04148574105047e-33,3.813341289886727e-34,0.0,2.04148574105047e-33,8.474091755303838e-35
puma8nm,3.518180171624343e-05,5.007417855406813e-35,3.1972907623562324e-05,8.100942828578811e-35,6.240013019814645e-34,1.9490411037198825e-33,6.240013019814645e-34,0.0,1.9490411037198825e-33,5.546678239835239e-34
