seed,n_clusters,alpha,theoretical,empirical
200,1,0.01,0.99,1.0
200,1,0.05,0.95,0.9736842105263158
200,1,0.1,0.9,0.9649122807017544
200,1,0.2,0.8,0.8947368421052632
201,1,0.01,0.99,1.0
201,1,0.05,0.95,0.9649122807017544
201,1,0.1,0.9,0.9385964912280702
201,1,0.2,0.8,0.8157894736842105
202,1,0.01,0.99,0.9912280701754386
202,1,0.05,0.95,0.9473684210526315
202,1,0.1,0.9,0.8333333333333334
202,1,0.2,0.8,0.7017543859649122
203,1,0.01,0.99,1.0
203,1,0.05,0.95,0.9473684210526315
203,1,0.1,0.9,0.868421052631579
203,1,0.2,0.8,0.7543859649122807
204,1,0.01,0.99,1.0
204,1,0.05,0.95,0.9649122807017544
204,1,0.1,0.9,0.9035087719298246
204,1,0.2,0.8,0.7894736842105263
205,1,0.01,0.99,0.9649122807017544
205,1,0.05,0.95,0.956140350877193
205,1,0.1,0.9,0.9210526315789473
205,1,0.2,0.8,0.8333333333333334
206,1,0.01,0.99,0.9824561403508771
206,1,0.05,0.95,0.9473684210526315
206,1,0.1,0.9,0.9035087719298246
206,1,0.2,0.8,0.8157894736842105
207,1,0.01,0.99,0.9912280701754386
207,1,0.05,0.95,0.9824561403508771
207,1,0.1,0.9,0.956140350877193
207,1,0.2,0.8,0.8421052631578947
208,1,0.01,0.99,1.0
208,1,0.05,0.95,1.0
208,1,0.1,0.9,0.9736842105263158
208,1,0.2,0.8,0.8947368421052632
209,1,0.01,0.99,0.9912280701754386
209,1,0.05,0.95,0.9736842105263158
209,1,0.1,0.9,0.8859649122807017
209,1,0.2,0.8,0.7719298245614035
210,1,0.01,0.99,0.9912280701754386
210,1,0.05,0.95,0.9649122807017544
210,1,0.1,0.9,0.9122807017543859
210,1,0.2,0.8,0.8157894736842105
211,1,0.01,0.99,1.0
211,1,0.05,0.95,0.9649122807017544
211,1,0.1,0.9,0.8596491228070176
211,1,0.2,0.8,0.7631578947368421
212,1,0.01,0.99,0.9912280701754386
212,1,0.05,0.95,0.956140350877193
212,1,0.1,0.9,0.9035087719298246
