seed,alpha,theoretical,empirical
100,0.01,0.99,0.9912280701754386
100,0.05,0.95,0.9649122807017544
100,0.1,0.9,0.9210526315789473
100,0.2,0.8,0.7543859649122807
100,0.5,0.5,0.4824561403508772
101,0.01,0.99,1.0
101,0.05,0.95,0.9824561403508771
101,0.1,0.9,0.868421052631579
101,0.2,0.8,0.8070175438596491
101,0.5,0.5,0.543859649122807
102,0.01,0.99,1.0
102,0.05,0.95,0.9385964912280702
102,0.1,0.9,0.8947368421052632
102,0.2,0.8,0.8245614035087719
102,0.5,0.5,0.5877192982456141
103,0.01,0.99,0.9824561403508771
103,0.05,0.95,0.956140350877193
103,0.1,0.9,0.8947368421052632
103,0.2,0.8,0.7894736842105263
103,0.5,0.5,0.43859649122807015
104,0.01,0.99,1.0
104,0.05,0.95,0.9649122807017544
104,0.1,0.9,0.9298245614035088
104,0.2,0.8,0.8333333333333334
104,0.5,0.5,0.5614035087719298
105,0.01,0.99,0.9912280701754386
105,0.05,0.95,0.9824561403508771
105,0.1,0.9,0.9649122807017544
105,0.2,0.8,0.9035087719298246
105,0.5,0.5,0.5614035087719298
106,0.01,0.99,1.0
106,0.05,0.95,0.956140350877193
106,0.1,0.9,0.9122807017543859
106,0.2,0.8,0.8333333333333334
106,0.5,0.5,0.5614035087719298
107,0.01,0.99,0.9912280701754386
107,0.05,0.95,0.9298245614035088
107,0.1,0.9,0.8947368421052632
107,0.2,0.8,0.8333333333333334
107,0.5,0.5,0.43859649122807015
108,0.01,0.99,1.0
108,0.05,0.95,0.9385964912280702
108,0.1,0.9,0.9035087719298246
108,0.2,0.8,0.8157894736842105
108,0.5,0.5,0.49122807017543857
109,0.01,0.99,1.0
109,0.05,0.95,0.9824561403508771
109,0.1,0.9,0.9122807017543859
109,0.2,0.8,0.8333333333333334
109,0.5,0.5,0.5789473684210527
110,0.01,0.99,0.9824561403508771
110,0.05,0.95,0.9649122807017544
110,0.1,0.9,0.956140350877193
110,0.2,0.8,0.8596491228070176
110,0.5,0.5,0.543859649122807
111,0.01,0.99,1.0
111,0.05,0.95,0.9736842105263158
111,0.1,0.9,0.868421052631579
111,0.2,0.8,0.8070175438596491
111,0.5,0.5,0.4824561403508772
112,0.01,0.99,1.0
112,0.05,0.95,0.9824561403508771
112,0.1,0.9,0.8508771929824561
112,0.2,0.8,0.7456140350877193
112,0.5,0.5,0.4824561403508772
113,0.01,0.99,0.9824561403508771
113,0.05,0.95,0.9210526315789473
113,0.1,0.9,0.8508771929824561
113,0.2,0.8,0.7192982456140351
113,0.5,0.5,0.4298245614035088
114,0.01,0.99,1.0
114,0.05,0.95,0.9473684210526315
114,0.1,0.9,0.8859649122807017
114,0.2,0.8,0.7105263157894737
114,0.5,0.5,0.49122807017543857
115,0.01,0.99,0.9912280701754386
115,0.05,0.95,0.9649122807017544
115,0.1,0.9,0.8947368421052632
115,0.2,0.8,0.7719298245614035
115,0.5,0.5,0.42105263157894735
116,0.01,0.99,1.0
116,0.05,0.95,0.9912280701754386
116,0.1,0.9,0.9298245614035088
116,0.2,0.8,0.8421052631578947
116,0.5,0.5,0.6491228070175439
117,0.01,0.99,1.0
117,0.05,0.95,0.9298245614035088
117,0.1,0.9,0.8947368421052632
117,0.2,0.8,0.8333333333333334
117,0.5,0.5,0.5964912280701754
118,0.01,0.99,1.0
118,0.05,0.95,0.9649122807017544
118,0.1,0.9,0.9649122807017544
118,0.2,0.8,0.8421052631578947
118,0.5,0.5,0.4473684210526316
119,0.01,0.99,0.9912280701754386
119,0.05,0.95,0.9736842105263158
119,0.1,0.9,0.9385964912280702
119,0.2,0.8,0.8947368421052632
119,0.5,0.5,0.5877192982456141
120,0.01,0.99,0.9824561403508771
120,0.05,0.95,0.9035087719298246
120,0.1,0.9,0.8421052631578947
120,0.2,0.8,0.7807017543859649
120,0.5,0.5,0.37719298245614036
121,0.01,0.99,1.0
121,0.05,0.95,0.9122807017543859
121,0.1,0.9,0.8333333333333334
121,0.2,0.8,0.7280701754385965
121,0.5,0.5,0.5350877192982456
122,0.01,0.99,0.9912280701754386
122,0.05,0.95,0.9736842105263158
122,0.1,0.9,0.9298245614035088
122,0.2,0.8,0.8859649122807017
122,0.5,0.5,0.543859649122807
123,0.01,0.99,1.0
123,0.05,0.95,0.9649122807017544
123,0.1,0.9,0.9298245614035088
123,0.2,0.8,0.8333333333333334
123,0.5,0.5,0.5701754385964912
124,0.01,0.99,1.0
124,0.05,0.95,0.9736842105263158
124,0.1,0.9,0.9035087719298246
124,0.2,0.8,0.7894736842105263
124,0.5,0.5,0.45614035087719296
125,0.01,0.99,1.0
125,0.05,0.95,0.9385964912280702
125,0.1,0.9,0.8596491228070176
125,0.2,0.8,0.7192982456140351
125,0.5,0.5,0.37719298245614036
126,0.01,0.99,1.0
126,0.05,0.95,0.9912280701754386
126,0.1,0.9,0.9649122807017544
126,0.2,0.8,0.9122807017543859
126,0.5,0.5,0.5877192982456141
127,0.01,0.99,1.0
127,0.05,0.95,0.9824561403508771
127,0.1,0.9,0.9385964912280702
127,0.2,0.8,0.8333333333333334
127,0.5,0.5,0.5964912280701754
128,0.01,0.99,1.0
128,0.05,0.95,0.9210526315789473
128,0.1,0.9,0.8333333333333334
128,0.2,0.8,0.6929824561403509
128,0.5,0.5,0.40350877192982454
129,0.01,0.99,0.9912280701754386
129,0.05,0.95,0.956140350877193
129,0.1,0.9,0.9385964912280702
129,0.2,0.8,0.8070175438596491
129,0.5,0.5,0.5087719298245614
130,0.01,0.99,0.9824561403508771
130,0.05,0.95,0.9736842105263158
130,0.1,0.9,0.8859649122807017
130,0.2,0.8,0.8333333333333334
130,0.5,0.5,0.5087719298245614
131,0.01,0.99,0.9736842105263158
131,0.05,0.95,0.9649122807017544
131,0.1,0.9,0.9122807017543859
131,0.2,0.8,0.8421052631578947
131,0.5,0.5,0.5350877192982456
132,0.01,0.99,1.0
132,0.05,0.95,0.9824561403508771
132,0.1,0.9,0.868421052631579
132,0.2,0.8,0.7543859649122807
132,0.5,0.5,0.4824561403508772
133,0.01,0.99,0.9649122807017544
133,0.05,0.95,0.9298245614035088
133,0.1,0.9,0.8859649122807017
133,0.2,0.8,0.7543859649122807
133,0.5,0.5,0.4824561403508772
134,0.01,0.99,1.0
134,0.05,0.95,0.9473684210526315
134,0.1,0.9,0.9122807017543859
134,0.2,0.8,0.8070175438596491
134,0.5,0.5,0.5789473684210527
135,0.01,0.99,0.9912280701754386
135,0.05,0.95,0.9473684210526315
135,0.1,0.9,0.8596491228070176
135,0.2,0.8,0.7456140350877193
135,0.5,0.5,0.43859649122807015
136,0.01,0.99,1.0
136,0.05,0.95,0.9649122807017544
136,0.1,0.9,0.9035087719298246
136,0.2,0.8,0.7719298245614035
136,0.5,0.5,0.5350877192982456
137,0.01,0.99,1.0
137,0.05,0.95,0.9912280701754386
137,0.1,0.9,0.9649122807017544
137,0.2,0.8,0.7982456140350878
137,0.5,0.5,0.5701754385964912
138,0.01,0.99,1.0
138,0.05,0.95,0.9210526315789473
138,0.1,0.9,0.8596491228070176
138,0.2,0.8,0.7631578947368421
138,0.5,0.5,0.49122807017543857
139,0.01,0.99,1.0
139,0.05,0.95,0.9210526315789473
139,0.1,0.9,0.8771929824561403
139,0.2,0.8,0.7982456140350878
139,0.5,0.5,0.47368421052631576
140,0.01,0.99,0.9912280701754386
140,0.05,0.95,0.9649122807017544
140,0.1,0.9,0.9035087719298246
140,0.2,0.8,0.8157894736842105
140,0.5,0.5,0.43859649122807015
141,0.01,0.99,1.0
141,0.05,0.95,0.956140350877193
141,0.1,0.9,0.9210526315789473
141,0.2,0.8,0.7982456140350878
141,0.5,0.5,0.5526315789473685
142,0.01,0.99,1.0
142,0.05,0.95,0.9736842105263158
142,0.1,0.9,0.8859649122807017
142,0.2,0.8,0.8070175438596491
142,0.5,0.5,0.45614035087719296
143,0.01,0.99,0.9912280701754386
143,0.05,0.95,0.9649122807017544
143,0.1,0.9,0.9385964912280702
143,0.2,0.8,0.7631578947368421
143,0.5,0.5,0.4824561403508772
144,0.01,0.99,1.0
144,0.05,0.95,0.9473684210526315
144,0.1,0.9,0.8771929824561403
144,0.2,0.8,0.7192982456140351
144,0.5,0.5,0.5087719298245614
145,0.01,0.99,1.0
145,0.05,0.95,0.9736842105263158
145,0.1,0.9,0.9298245614035088
145,0.2,0.8,0.8245614035087719
145,0.5,0.5,0.5263157894736842
146,0.01,0.99,0.9824561403508771
146,0.05,0.95,0.9210526315789473
146,0.1,0.9,0.8859649122807017
146,0.2,0.8,0.7631578947368421
146,0.5,0.5,0.45614035087719296
147,0.01,0.99,0.9824561403508771
147,0.05,0.95,0.9298245614035088
147,0.1,0.9,0.8947368421052632
147,0.2,0.8,0.8070175438596491
147,0.5,0.5,0.5789473684210527
148,0.01,0.99,1.0
148,0.05,0.95,0.9912280701754386
148,0.1,0.9,0.9385964912280702
148,0.2,0.8,0.8245614035087719
