point_idx,width,accept_rate
0,narrow,0.0
0,medium,0.0
0,wide,0.0
1,narrow,0.0
1,medium,0.0
1,wide,0.0
2,narrow,0.0
2,medium,0.0
2,wide,0.0
3,narrow,0.0
3,medium,0.0
3,wide,0.0
4,narrow,0.0
4,medium,0.0
4,wide,0.0
5,narrow,0.0
5,medium,0.0
5,wide,0.0
6,narrow,0.0
6,medium,0.0
6,wide,0.0
7,narrow,0.0
7,medium,0.0
7,wide,0.0
8,narrow,0.0
8,medium,0.0
8,wide,0.0
9,narrow,0.0
9,medium,0.0
9,wide,0.0
10,narrow,0.0
10,medium,0.0
10,wide,0.0
11,narrow,0.0
11,medium,0.0
11,wide,0.0
12,narrow,0.0
12,medium,0.0
12,wide,0.0
13,narrow,0.0
13,medium,0.0
13,wide,0.0
14,narrow,0.0
14,medium,0.0
14,wide,0.0
15,narrow,0.0
15,medium,0.0
15,wide,0.0
16,narrow,0.0
16,medium,0.0
16,wide,0.0
17,narrow,0.0
17,medium,0.0
17,wide,0.0
18,narrow,0.0
18,medium,0.0
18,wide,0.0
19,narrow,0.0
19,medium,0.0
19,wide,0.0
