name,def_file,def_line,src_usages,test_usages,pattern,scope
_raise,test_reject.py,650,0,3,Pattern 2 (Shared Test Utility),test
_fields_,test_reject_memory.py,24,0,1,Pattern 2 (Local Test Helper),test
_REPO_ROOT,capabilities\test_tif_policy.py,27,0,5,Pattern 2 (Shared Test Utility),test
_TIF_DIR,capabilities\conftest.py,14,0,3,Pattern 2 (Shared Test Utility),test
_RNG_SEED,capabilities\test_visualization_contracts.py,30,0,58,Pattern 2 (Shared Test Utility),test
_N_SAMPLES,capabilities\test_visualization_contracts.py,31,0,23,Pattern 2 (Shared Test Utility),test
_N_FEATURES,capabilities\test_visualization_contracts.py,32,0,22,Pattern 2 (Shared Test Utility),test
_N_TEST,capabilities\test_visualization_contracts.py,33,0,22,Pattern 2 (Shared Test Utility),test
_TIF_PY_DIR,capabilities\test_tif_policy.py,28,0,8,Pattern 2 (Shared Test Utility),test
_TIF_UTILITY_MODULES,capabilities\test_tif_policy.py,30,0,2,Pattern 2 (Shared Test Utility),test
_get_tif_py_files,capabilities\test_tif_policy.py,36,0,12,Pattern 2 (Shared Test Utility),test
_read_source,capabilities\test_tif_policy.py,41,0,12,Pattern 2 (Shared Test Utility),test
_FORBIDDEN_INTERNAL_IMPORT,capabilities\test_tif_policy.py,70,0,2,Pattern 2 (Shared Test Utility),test
_FORBIDDEN_DIRECT_CONSTRUCTION,capabilities\test_tif_policy.py,96,0,2,Pattern 2 (Shared Test Utility),test
_PRIVATE_MEMBER_PATTERN,capabilities\test_tif_policy.py,123,0,2,Pattern 2 (Shared Test Utility),test
_CAPABILITY_TEST_RE,capabilities\test_tif_policy.py,194,0,2,Pattern 2 (Shared Test Utility),test
_TIF_REFS_RE,capabilities\test_tif_policy.py,195,0,2,Pattern 2 (Shared Test Utility),test
_TIF_EXEMPTION_RE,capabilities\test_tif_policy.py,196,0,2,Pattern 2 (Shared Test Utility),test
_REQUIRED_IDENTITY_FIELDS,capabilities\test_tif_policy.py,240,0,2,Pattern 2 (Shared Test Utility),test
_spec_table_value,capabilities\test_tif_policy.py,250,0,4,Pattern 2 (Shared Test Utility),test
_ALLOWED_CONTEXT_WORDS,docs\get_started\test_no_ce_agent_utils_recommendation.py,47,0,3,Pattern 2 (Shared Test Utility),test
_DATA_DIR,helpers\fixtures.py,10,0,7,Pattern 2 (Shared Test Utility),test
_clf,integration\test_reject_alternatives_integration.py,26,0,4,Pattern 2 (Shared Test Utility),test
_wrapper,integration\test_reject_alternatives_integration.py,27,0,21,Pattern 2 (Shared Test Utility),test
_get_explainer,unit\test_prune_quality_backfill.py,33,0,0,Pattern 2 (Local Test Helper),test
_CONFIG_PAYLOAD_KEYS,observability\test_config_governance_events.py,25,0,2,Pattern 2 (Shared Test Utility),test
_isolate_registry,observability\test_governance_events.py,27,0,0,Pattern 2 (Local Test Helper),test
_write_wheel,scripts\test_packaging_artifact_check.py,14,0,6,Pattern 2 (Shared Test Utility),test
_write_sdist,scripts\test_packaging_artifact_check.py,48,0,6,Pattern 2 (Shared Test Utility),test
_explainer,calibrated_explanations\explanations\explanations.py,2030,49,2,Pattern 1 (Inter-module / Testing leaked),library
_load_deprecations_md,unit\api\test_deprecation_ledger_sync.py,19,0,8,Pattern 2 (Shared Test Utility),test
_classification_wrapper,unit\calibration\test_calibrator_primitive_roundtrip.py,21,0,6,Pattern 2 (Shared Test Utility),test
_regression_wrapper,unit\calibration\test_calibrator_primitive_roundtrip.py,31,0,6,Pattern 2 (Shared Test Utility),test
_v1_primitive,unit\calibration\test_calibrator_primitive_roundtrip.py,41,0,4,Pattern 2 (Shared Test Utility),test
_classification_explainer,unit\core\test_calibrated_explainer_more_paths.py,577,0,16,Pattern 2 (Shared Test Utility),test
_EMPTY_PYPROJECT,unit\core\test_calibrated_explainer_parallel_env.py,52,0,22,Pattern 2 (Shared Test Utility),test
_fitted_classification_wrapper,unit\core\test_parameter_surface_contracts.py,59,0,12,Pattern 2 (Shared Test Utility),test
_CALIBRATE_VALUES,unit\core\test_parameter_surface_contracts.py,165,0,3,Pattern 2 (Shared Test Utility),test
_EXPLAIN_VALUES,unit\core\test_parameter_surface_contracts.py,200,0,3,Pattern 2 (Shared Test Utility),test
_EXPLAIN_FAST_VALUES,unit\core\test_parameter_surface_contracts.py,213,0,3,Pattern 2 (Shared Test Utility),test
_PREDICT_VALUES,unit\core\test_parameter_surface_contracts.py,220,0,3,Pattern 2 (Shared Test Utility),test
_PREDICT_PROBA_VALUES,unit\core\test_parameter_surface_contracts.py,231,0,3,Pattern 2 (Shared Test Utility),test
_agg_backend,unit\core\test_parameter_surface_contracts.py,366,0,0,Pattern 2 (Local Test Helper),test
